age_group	mean_prev	Sex
25 to 29	0.1132	Male
30 to 34	0.1064	Male
35 to 39	0.1126	Male
40 to 44	0.1198	Male
45 to 49	0.1117	Male
50 to 54	0.0967	Male
55 to 59	0.0847	Male
60 to 64	0.0887	Male
65 to 69	0.0721	Male
70 to 74	0.0603	Male
75 to 79	0.056	Male
80 to 84	0.0493	Male
85 to 89	0.0493	Male
90 to 94	0.0493	Male
95 plus	0.0493	Male
25 to 29	0.1152	Female
30 to 34	0.122	Female
35 to 39	0.1455	Female
40 to 44	0.1558	Female
45 to 49	0.1804	Female
50 to 54	0.1961	Female
55 to 59	0.2141	Female
60 to 64	0.2345	Female
65 to 69	0.211	Female
70 to 74	0.1811	Female
75 to 79	0.1608	Female
80 to 84	0.1091	Female
85 to 89	0.1091	Female
90 to 94	0.1091	Female
95 plus	0.1091	Female
